NOC 2021 Code,Occupation Title,Occupation Summary
22301,Mechanical engineering technologists and technicians,"Mechanical engineering technologists and technicians provide technical support and services or may work independently in mechanical engineering fields such as the design, development, maintenance and testing of machines, components, tools, heating and ventilating systems, geothermal power plants, power generation and power conversion plants, manufacturing plants and equipment. They are employed by consulting engineering, manufacturing and processing companies, institutions and government departments."
22302,Industrial engineering and manufacturing technologists and technicians,"Industrial engineering and manufacturing technologists and technicians may work independently or provide technical support and services in the development of production methods, facilities and systems, and the planning, estimating, measuring and scheduling of work. They are employed by manufacturing and insurance companies, government departments, and establishments in other industries."
22303,Construction estimators,"Construction estimators analyze costs of and prepare estimates on civil engineering, architectural, structural, electrical and mechanical construction projects. They are employed by residential, commercial and industrial construction companies and major electrical, mechanical and trade contractors, or they may be self-employed."
22310,Electrical and electronics engineering technologists and technicians,"Electrical and electronics engineering technologists and technicians may work independently or provide technical support and services in the design, development, testing, production and operation of electrical and electronic equipment and systems. They are employed by electrical utilities, communications companies, manufacturers of electrical and electronic equipment, consulting firms, and in governments and a wide range of manufacturing, processing and transportation industries."
22311,Electronic service technicians (household and business equipment),"Electronic service technicians service and repair household and business electronic equipment such as audio and video systems, computers and peripherals, office equipment and other consumer electronic equipment and assemblies. They are employed by electronic service and retail establishments, by wholesale distributors and within service departments of electronic manufacturing companies. Apprentices are also included in this unit group."
22312,Industrial instrument technicians and mechanics,"Industrial instrument technicians and mechanics repair, maintain, calibrate, adjust, and install industrial measuring and controlling instrumentation. They are employed by pulp and paper processing companies, nuclear and hydro power generating companies, mining, petrochemical and natural gas companies, industrial instrument and other manufacturing companies, and by industrial instrument servicing establishments. Apprentices are also included in this unit group."
22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","Aircraft instrument, electrical and avionics mechanics, technicians and inspectors install, adjust, repair and overhaul aircraft instrument, electrical or avionics systems on aircraft. This unit group also includes avionics inspectors who inspect instrument, electrical and avionics systems following assembly, modification, repair or overhaul. They are employed by aircraft manufacturing, maintenance, repair and overhaul establishments and by airlines and other aircraft operators. Apprentices are also included in this unit group."
30010,Managers in health care,"Managers in health care plan, organize, direct, control and evaluate the delivery of health care services, such as diagnosis and treatment, nursing and therapy, within institutions, and in other settings, that provide health care services. They are employed in hospitals, medical clinics, nursing homes and other health care organizations."
31100,Specialists in clinical and laboratory medicine,"Specialists in clinical and laboratory medicine diagnose and treat diseases and physiological or psychiatric disorders and act as consultants to other physicians. Specialists in laboratory medicine study the nature, cause and development of diseases in humans. Specialists in clinical medicine usually work in private practice or in a hospital while those in laboratory medicine usually work in hospitals. Residents in training to become specialists in clinical and laboratory medicine are included in this unit group."
31101,Specialists in surgery,Specialists in surgery perform and supervise surgical procedures. Specialists in surgery usually work in hospitals. Residents in training to become specialists in surgery are included in this unit group.
31102,General practitioners and family physicians,"General practitioners and family physicians diagnose and treat the diseases, physiological disorders and injuries of patients. They provide primary contact and continuous care toward the management of patients' health. They usually work in private practice, including group or team practices, hospitals and clinics. Residents in training to be general practitioners or family physicians are included in this unit group."
31103,Veterinarians,"Veterinarians prevent, diagnose and treat diseases and disorders in animals and advise clients on the feeding, hygiene, housing and general care of animals. They can also perform surgical procedures. They work in private practice or may be employed by animal clinics, farms, laboratories, government or industry."
31110,Dentists,"Dentists diagnose, treat, prevent and control disorders of the teeth and mouth. They work in private practice or may be employed in hospitals, clinics, public health facilities or universities."
31111,Optometrists,"Optometrists examine eyes to assess and diagnose ocular diseases and disorders. They prescribe and fit eyeglasses and contact lenses and recommend treatments such as exercises to correct vision problems or ocular disorders. They work in private practice, hospitals, clinics, community health centres, rehabilitation centres, the optical industry, government and universities."
31112,Audiologists and speech-language pathologists,"Audiologists diagnose, evaluate and treat individuals with peripheral and central hearing loss, tinnitus and balance problems. Speech-language pathologists diagnose, assess and treat human communication disorders including speech, fluency, language, voice and swallowing disorders. Audiologists and speech-language pathologists are employed in hospitals, community and public health centres, extended care facilities, day clinics, rehabilitation centres and educational institutions, or may work in private practice. Audiologists and speech-language pathologists who are supervisors are included in this unit group."
31120,Pharmacists,"Community pharmacists and hospital pharmacists compound and dispense prescribed pharmaceuticals and provide consultative services to both clients and health care providers. They are employed in retail pharmacies and health center pharmacies, or they may be self-employed. Industrial pharmacists participate in the research, development, promotion and manufacture of pharmaceutical products. They are employed in pharmaceutical companies and government departments and agencies."
31121,Dietitians and nutritionists,"Dietitians and nutritionists assess nutrition related issues of individuals and groups and develop, implement and evaluate nutrition care plans to prevent, treat and manage disease. They manage food and nutrition service systems, and plan health promotion programs. They are employed in a variety of settings including hospitals, home health-care agencies and extended care facilities, community health centres, the food, beverage and pharmaceutical industries, educational institutions, and government and sports organizations, or they may work as private consultants."
31200,Psychologists,"Psychologists assess and diagnose behavioural, emotional and cognitive disorders, counsel clients, provide therapy, conduct research and apply theory relating to behaviour and mental processes. Psychologists help clients work toward the maintenance and enhancement of psychological, physical, intellectual, emotional, social and interpersonal functioning. They work in private practice or in clinics, correctional facilities, hospitals, mental health facilities, rehabilitation centres, community service organizations, businesses, schools and universities, and in government and private research agencies."
31201,Chiropractors,"Chiropractors assess, diagnose, treat and prevent patients' neuromuscular-skeletal disorders of the spine, nervous system, pelvis and other body joints using corrective manipulation including spinal column adjustments, or other complementary therapies. They are usually in private practice or in clinics with other health practitioners."
31202,Physiotherapists,"Physiotherapists assess clients and plan and carry out individually designed treatment programs to maintain, improve or restore physical functioning and mobility, alleviate pain and prevent physical dysfunction in clients. They are employed in hospitals, clinics, industry, sports organizations, rehabilitation centres and extended care facilities, or may work in private practice."
31203,Occupational therapists,"Occupational therapists develop individual and group programs with people affected by illness, injury, developmental disorders, emotional or psychological problems and aging to maintain, restore or increase their ability to care for themselves and to engage in work, school or leisure. They also develop and implement health promotion programs with individuals, community groups and employers. They are employed in health care facilities, in schools, and by private and social services agencies, or they may be self-employed."
31204,Kinesiologists and other professional occupations in therapy and assessment,"Kinesiologists and other professional occupations in therapy and assessment include specialized therapists who use techniques such as athletic or recreational therapy to aid in the treatment of mental and physical disabilities or injuries. They are employed by establishments such as hospitals, rehabilitation centres, extended health care facilities, clinics, recreational centres, nursing homes, industry, educational institutions and sports organizations, or they may work in private practice."
31209,Other professional occupations in health diagnosing and treating,"Other professional occupations in health diagnosing and treating, who are not elsewhere classified, diagnose and treat the diseases and injuries of patients. This unit group includes doctors of podiatric medicine, naturopathic medicine and osteopathic medicine, and also includes chiropodists and podiatrists. They work in private practices, clinics and hospitals."
31300,Nursing coordinators and supervisors,"Nursing coordinators and supervisors coordinate and supervise the activities of registered nurses, registered psychiatric nurses, licensed practical nurses and other nursing personnel in the provision of patient care. They are employed in health care institutions such as hospitals, clinics and nursing homes, and in nursing agencies."
31301,Registered nurses and registered psychiatric nurses,"Registered nurses and registered psychiatric nurses provide direct nursing care to patients, deliver health education programs and provide consultative services regarding issues relevant to the practice of nursing. They are employed in a variety of settings including hospitals, nursing homes, extended care facilities, rehabilitation centres, doctors' offices, clinics, community agencies, companies, private homes and public and private organizations or they may be self-employed."
31302,Nurse practitioners,"Nurse practitioners are registered nurses with additional education, advanced knowledge and nursing experience, and a specialty of practice. They provide a range of health services to patients and deliver preventive and continuous care toward the management of patients' health. Nurse practitioners work in conjunction with physicians and collaboratively with other nursing colleagues and health-care providers, or they may work independently. They are employed in community health centres, hospitals, clinics, long-term care facilities, and rehabilitation centres. Nurse practitioners may specialize in primary healthcare or acute care."
31303,"Physician assistants, midwives and allied health professionals","Physician assistants and midwives provide primary health care and treatment in conjunction with physicians and in collaboration with other health professionals. Physician assistants provide a range of health services to patients delivering preventive and continuous care toward the management of patients' health. Midwives provide full-course care to women and their babies during the pre- and post-natal period. This unit group also includes professionals such as genetic counsellors, orthoptists and pathologists' assistants, who work in collaboration with primary health occupations. Genetic counsellors assess individual or family risk of genetic conditions, and provide information to individuals, families and healthcare providers to promote informed choice. Orthoptists diagnose and treat binocular disorders. Pathologists' assistants assist at autopsies and examinations of surgical specimens, or perform autopsies under a pathologist's supervision. Physician assistants usually work under physicians in private practice, including group or team practices, hospitals and clinics. Midwives are employed in hospitals, clinics, birthing centres or in private practice. Genetic counsellors usually work in private practice, hospitals, clinics and research institutes. Orthoptists work under an ophthalmologist, particularly in private practices or clinics. Pathologists' assistants are usually employed in hospitals and universities."
32100,Opticians,"Opticians assist clients in the selection of eyeglass frames, take the necessary measurements and arrange for the production of eyeglasses or contact lenses, mount lenses in eyeglass frames and fit clients with final prescription eyeglasses and contact lenses. They are employed in optical retail outlets or other establishments with optical dispensing departments, or they may be self-employed. Student opticians and opticians who are managers of optical retail outlets are included in this unit group."
32101,Licensed practical nurses,"Licensed practical nurses provide nursing care usually under the direction of medical practitioners, registered nurses or other health team members. Operating room technicians prepare patients and provide assistance to medical practitioners prior to and during surgery. Licensed practical nurses are employed in hospitals, nursing homes, extended care facilities, rehabilitation centres, doctors' offices, clinics, companies, private homes and community health centres. Operating room technicians are employed in hospitals."
32102,Paramedical occupations,"Workers in paramedical occupations administer pre-hospital emergency medical care to patients with injuries or medical illnesses and transport them to hospitals or other medical facilities for further medical care. They are employed by private ambulance services, hospitals, fire departments, government departments and agencies, manufacturing firms, mining companies and other private sector establishments. Paramedics who are supervisors are included in this unit group."
32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","Respiratory therapists assist physicians in the evaluation, diagnosis, treatment and care of patients with respiratory and cardiopulmonary disorders. Clinical perfusionists provide technical support to patients undergoing cardiac surgery and patients requiring cardio-respiratory support. Cardiopulmonary technologists assist physicians in the technical aspects of diagnosis and treatment of cardiovascular and pulmonary disease. Respiratory therapists are employed in hospitals, extended care facilities, public health centres, sleep, private or dental clinics and respiratory home care companies. Clinical perfusionists and cardiopulmonary technologists are primarily employed in hospitals. Respiratory therapists, clinical perfusionists and cardiopulmonary technologists who are supervisors or instructors are included in this unit group."
32104,Animal health technologists and veterinary technicians,"Animal health technologists and veterinary technicians provide technical support to veterinarians by caring for animals and assisting in the diagnosis and treatment of animal health disorders. They are employed in veterinary clinics, animal hospitals, animal shelters, humane societies, zoos, animal research laboratories, pharmaceutical companies and government. Animal health technologists and veterinary technicians who are supervisors are included in this unit group."
32109,Other technical occupations in therapy and assessment,"Other technical workers in therapy and assessment perform various technical therapy and assessment functions. Some may assist professionals such as audiologists, speech-language pathologists, ophthalmologists, physiotherapists and occupational therapists. They are employed in hospitals, clinics, extended care facilities, rehabilitation centres, community health centres, educational institutions, hearing aid retail stores, in the private practices of the professionals they assist, or they may be self-employed."
32110,Denturists,"Denturists examine patients and design, construct and repair removable dentures. Most denturists work in private practice. Apprentices are also included in this unit group."
32111,Dental hygienists and dental therapists,"Dental hygienists provide dental hygiene treatment and services related to oral health promotion and disease and mouth injury prevention. They are employed in a variety of settings including dentists' offices, hospitals, private clinics, educational institutions, public health agencies or they may be self-employed. Dental therapists provide limited restorative dental treatment in addition to dental hygiene services. They are employed by the federal government and the provincial governments to provide services in rural and remote communities."
32112,Dental technologists and technicians,"Dental technologists and technicians design, prepare and fabricate dentures and dental devices as prescribed by dentists and other specialists. They are employed in dental laboratories. Dental technologists and technicians who are supervisors are included in this unit group."
32120,Medical laboratory technologists,"Medical laboratory technologists conduct medical laboratory tests, experiments and analyses to assist in the diagnosis, treatment, monitoring and prevention of disease. They are employed in medical laboratories in hospitals, blood banks, community and private clinics, research facilities and post-secondary educational institutions. Medical laboratory technologists who are supervisors are included in this unit group."
32121,Medical radiation technologists,"Medical radiation technologists operate radiographic and radiation therapy equipment to administer radiation treatment and produce images of body structures for the diagnosis and treatment of injury and disease. They are employed in hospitals, cancer treatment centres, clinics, radiological laboratories, colleges and universities. Medical radiation technologists who are supervisors or instructors are included in this unit group."
32122,Medical sonographers,"Medical sonographers operate ultrasound equipment to produce and record images of various parts of the body to aid physicians in monitoring pregnancies and in diagnosing cardiac, ophthalmic, vascular and other medical disorders. They are employed in clinics and hospitals. Medical sonographers who are supervisors or instructors are included in this unit group."
32123,Cardiology technologists and electrophysiological diagnostic technologists,"Cardiology technologists operate electrocardiogram equipment and use medical imaging technologies to record cardiac activity of patients to aid in the diagnosis, monitoring and treatment of heart disease. Electrophysiological diagnostic technologists operate electroencephalographic, electromyographic and other electrophysiological diagnostic equipment to assist physicians in diagnosing diseases, injuries and abnormalities. Cardiology technologists and electrophysiological diagnostic technologists who are supervisors or instructors are included in this unit group. They are employed in clinics, hospitals and medical laboratories."
32124,Pharmacy technicians,"Pharmacy technicians perform technical functions relating to prescriptions including gathering patients' information, product preparation, product distribution and inventory control. They work closely with pharmacists to provide pharmaceutical care to clients. Pharmacy technicians are employed in retail and hospital pharmacies, long-term care facilities and by pharmaceutical manufacturers. Pharmacy technicians who are supervisors are included in this unit group."
32129,Other medical technologists and technicians,"Other medical technologists and technicians includes medical technologists and technicians, such as dietary technicians, ocularists, prosthetists, orthotists, prosthetic technicians and orthotic technicians. Dietary technicians are employed in health care and commercial food service establishments such as hospitals, extended care facilities, nursing homes, schools, cafeterias and fast food outlets. Ocularists are employed in custom ocular prosthetic laboratories, or they may be self-employed. Prosthetists, orthotists and prosthetic and orthotic technicians are employed in hospitals, clinics, prosthetics and orthotics laboratories, and prosthetic device manufacturing companies. Prosthetists and orthotists may also be self-employed. Apprentices are also included in this unit group."
32200,Traditional Chinese medicine practitioners and acupuncturists,"Traditional Chinese medicine practitioners and acupuncturists assess, treat and prevent diseases, conditions, disorders or imbalances of patients' using various forms of treatment including acupuncture, herbology or other holistic health approaches. They usually work in private practice, including group or team practices, clinics, extended care facilities, rehabilitation centres and health clubs."
32201,Massage therapists,"Massage therapists assess soft tissues and joints of the body for treatment and prevention of dysfunction, injury, pain and physical disorders. They work in private practice, including group or team practices, hospitals, clinics, extended care facilities, rehabilitation centres and educational institutions."
32209,Other practitioners of natural healing,"Practitioners of natural healing provide health care to patients using various forms of treatment including herbology, reflexology or relaxation techniques to promote, maintain and restore the holistic health of patients. They usually work in private practice, including group or team practices, or are employed by clinics, health clubs and spas."
33100,Dental assistants and dental laboratory assistants,"Dental assistants assist dentists, dental hygienists and dental therapists during the examination and treatment of patients and perform clerical functions. Dental laboratory assistants assist dental technologists and technicians in preparing and fabricating dentures and other dental devices. Dental assistants work in dentists' offices, community health centres, clinics and in educational institutions. Dental laboratory assistants are employed in dental laboratories."
33101,Medical laboratory assistants and related technical occupations,"Medical laboratory assistants and workers in related technical occupations perform pre-analysis and pre-testing tasks such as collecting blood and other samples, processing specimens, and preparing special chemicals called reagents for use in testing. They conduct routine medical laboratory tests and set up, clean and maintain medical laboratory equipment. They are employed in medical laboratories in hospitals, clinics, research facilities, post-secondary educational institutions and government research laboratories."
33102,"Nurse aides, orderlies and patient service associates","Nurse aides, orderlies and patient service associates assist nurses, hospital staff and physicians in the basic care of patients. They are employed in hospitals, nursing homes, assisted care facilities for the elderly and other health care establishments. Emergency medical care attendant are employed by private ambulance services, urgent care centers or other health facilities."
33103,Pharmacy technical assistants and pharmacy assistants,"Pharmacy technical assistants perform technical tasks related to preparing medications under a pharmacist's supervision. They also assist in filling prescriptions and managing patient files. Pharmacy assistants perform clerical functions and assists pharmacists and pharmacy technicians with drug dispensing tasks. Pharmacy technical assistants and pharmacy assistants are employed in retail and hospital pharmacies, long-term care facilities and by pharmaceutical manufacturers."
33109,Other assisting occupations in support of health services,"Other assisting workers in support of health services provide services and assistance to health care professionals and other health care staff. They are employed in hospitals, medical clinics, offices of health care professionals, nursing homes, optical retail stores and laboratories, and medical pathology laboratories."
40010,Government managers - health and social policy development and program administration,"Government managers in health and social policy development and program administration plan, organize, direct, control and evaluate the development and administration of health care policies, social policies and related programs designed to protect and promote the health and social welfare of individuals and communities. They are employed by all levels of government."
40011,"Government managers - economic analysis, policy development and program administration","Government managers in economic analysis, policy development and program administration plan, organize, direct, control and evaluate economic policy, research and programs in areas of government activity such as taxation, international trade, labour markets, transportation or agriculture. They also plan and direct policies and programs to promote industrial and commercial business development in urban and rural areas. They are employed by all levels of government."
40012,Government managers - education policy development and program administration,"Government managers in education policy development and program administration plan, organize, direct, control and evaluate the development and administration of elementary, secondary and post-secondary education policies and programs. They are employed by all levels of government."
40019,Other managers in public administration,"Other managers in public administration plan, organize, direct, control and evaluate the development of policies and programs which govern the daily operations of legislatures and other activities unique to government such as intergovernmental affairs and elections. They are employed by all levels of government."
40020,Administrators - post-secondary education and vocational training,"Administrators in post-secondary education and vocational training include faculty administrators and registrars of colleges or universities and administrators of vocational training schools. Faculty administrators manage the academic and related activities of faculties of colleges or universities. Registrars manage registration activities and academic records systems of colleges or universities. Administrators of vocational training schools manage the operations of vocational schools specializing in trades, technology, business or other vocational subjects."
40021,School principals and administrators of elementary and secondary education,"School principals plan, organize, direct, control and evaluate the activities of teachers and other staff of an elementary or secondary school. They are employed by public and private schools. Administrators of elementary and secondary education plan, organize, direct, control and evaluate the academic affairs of a school system. They are employed by school boards."
40030,"Managers in social, community and correctional services","Managers in social, community and correctional services plan, organize, direct, control and evaluate the programs and activities of social service and community agencies, correctional institutions, counselling departments, labour organizations, professional associations, political parties and non-governmental organizations."
40040,Commissioned police officers and related occupations in public protection services,"Commissioned police officers plan, organize, direct, control and evaluate police force administration and police activities such as maintaining law and order and detecting and preventing crime. They are employed by municipal, provincial and federal governments. This unit group includes officers from the rank of staff sergeant to police commissioner. Commissioned officers in the railway police, deputy chief coroners, and deputy chief medical examiners are also included in this unit group."
40041,Fire chiefs and senior firefighting officers,"Fire chiefs and senior firefighting officers plan, organize, direct, control and evaluate firefighting operations and fire prevention activities in fire departments. They are employed by municipal and federal governments and by industrial establishments with firefighting services."
40042,Commissioned officers of the Canadian Armed Forces,"Commissioned officers of the Canadian Armed Forces plan, organize, command, direct, control and evaluate, the operations of their organization in relation to established objectives. Senior commissioned officers formulate military and strategic policies which establish the direction to be taken by the Canadian Forces. All ranks of commissioned officers in the Royal Canadian Air Force, Canadian Army, and Royal Canadian Navy are included in this unit group."
41100,Judges,Judges adjudicate civil and criminal cases and administer justice in courts of law. Judges preside over federal and provincial courts.
41101,Lawyers and Quebec notaries,"Lawyers and Quebec notaries advise clients on legal matters, represent clients before administration boards and draw up legal documents such as contracts and wills. Lawyers also plead cases, represent clients before tribunals and conduct prosecutions in courts of law. Lawyers are employed in law firms and prosecutor's offices. Quebec notaries are employed in notary offices. Both lawyers and Quebec notaries are employed by federal, provincial and municipal governments and various business establishments or they may be self-employed. Articling students are included in this unit group."
41200,University professors and lecturers,University professors and lecturers teach courses to undergraduate and graduate students and conduct research at universities. University professors who are heads of departments are included in this unit group.
41201,Post-secondary teaching and research assistants,"Post-secondary teaching and research assistants assist university professors, community college and CEGEP teachers and other faculty members in teaching and research activities at universities and colleges."
41210,College and other vocational instructors,"College and other vocational instructors teach applied arts, academic, technical and vocational subjects to students at community colleges, CEGEPs, agricultural colleges, technical and vocational institutes, language schools and other college level schools. This unit group also includes trainers who are employed by private training establishments, companies, community agencies and governments to deliver internal training or development courses. College teachers who are heads of departments are included in this unit group."
41220,Secondary school teachers,"Secondary school teachers prepare and teach academic, technical, vocational or specialized subjects at public and private secondary schools. Secondary school teachers who are heads of departments are included in this unit group."
41221,Elementary school and kindergarten teachers,"Elementary school and kindergarten teachers teach basic subjects such as reading, writing and arithmetic or specialized subjects such as English or French as a second language at public and private elementary schools."
41300,Social workers,"Social workers help individuals, couples, families, groups, communities and organizations develop the skills and resources they need to enhance social functioning and provide counselling, therapy and referral to other supportive social services. Social workers also respond to other social needs and issues such as unemployment, racism and poverty. They are employed by hospitals, school boards, social service agencies, child welfare organizations, correctional facilities, community agencies, employee assistance programs and Aboriginal band councils, or they may work in private practice."
41301,Therapists in counselling and related specialized therapies,"Therapists in counselling and related specialized therapies assist individuals and groups of clients to identify, understand and overcome personal problems and achieve personal objectives. They can be specialized to work on specific problems and they may practice psychotherapy. They are employed by counselling centres, social service agencies, group homes, government agencies, family therapy centres, and educational, health care and rehabilitation facilities, or they may work in private practice."
41302,Religious leaders,"Religious leaders conduct religious services, administer the rites of a religious faith or denomination, provide spiritual and moral guidance and perform other functions associated with the practice of a religion. They perform these duties in churches, synagogues, temples or other places of worship. They may also work in other institutions such as schools, hospitals and correctional facilities."
41310,Police investigators and other investigative occupations,"Police investigators and professionals in related investigative occupations follow leads and investigate circumstances relating to crimes committed and obtain information to prevent crimes. They plan and coordinate investigations, collect evidence, interview suspects, victims, witnesses and other stakeholders, conduct surveillance and testify in court. They are employed by municipal, provincial and federal governments. This unit group includes coroners and medical examiners."
41311,Probation and parole officers,Probation officers monitor the conduct and behaviour of criminal offenders serving probation terms and serving sentences of two years less a day. They are employed by provincial governments. Parole officers monitor the reintegration of criminal offenders serving the remainder of sentences on conditional release and individuals that are subject to a long-term supervision order. They also assess inmates and develop rehabilitation programs for criminal offenders who are incarcerated in correctional facilities. They are employed by federal and provincial governments. Both probation and parole officers work in the community and in correctional facilities including young offender's correctional facilities.
41320,Educational counsellors,"Educational counsellors advise current and prospective students on educational issues, career planning and personal development, and coordinate the provision of counselling services to students, parents, teachers, faculty and staff. They are employed by school boards and post-secondary educational institutions."
41321,Career development practitioners and career counsellors (except education),"Career development practitioners and career counsellors (except education) provide assistance and information to job seeker clients on all aspects of employment search and career planning. They also provide advice and information to employer clients regarding employment issues and human resources. They are employed by public or private employment agencies, rehabilitation centres, hospitals, human resource departments of establishments, consulting firms, correctional facilities and by federal and provincial governments. Supervisors of career development practitioners and career counsellors (except education) are included in this unit group."
41400,"Natural and applied science policy researchers, consultants and program officers","Natural and applied science policy researchers, consultants and program officers conduct research, prepare reports, provide consultation and advice and administer programs in a variety of areas related to the natural and applied sciences. They are employed by federal, provincial and municipal governments, computer and office furniture manufacturers, educational institutions, research organizations, consulting firms, environmental and conservation organizations, or they may be self-employed."
41401,Economists and economic policy researchers and analysts,"Economists and economic policy researchers and analysts conduct research, monitor data, analyze information and prepare reports and plans to resolve economic and business problems and develop models to analyze, explain and forecast economic behaviour and patterns. They advise on matters such as finance, fiscal and monetary policy, international trade, agricultural and natural resource commodities and labour and industrial markets. They are employed by government departments and agencies and throughout the private sector in associations, unions, research organizations, banks and investment firms."
41402,Business development officers and market researchers and analysts,"Business development officers and market researchers and analysts conduct research, provide statistical and analytical supports, identify market trends and potential opportunities, formulate policies and manage programs to stimulate industrial and commercial business investment or tourism in urban and rural areas, or to promote commercial or industrial products and services. They are employed by government departments, international organizations, marketing and analytics firms and business associations or may be self-employed."
41403,"Social policy researchers, consultants and program officers","Social policy researchers, consultants and program officers conduct research, develop policy and implement or administer programs in areas such as consumer affairs, employment, home economics, immigration, law enforcement, corrections, human rights, housing, labour, family services, foreign aid and international development. They are employed by government departments and agencies, hospitals, educational institutions, consulting establishments, professional associations, research institutes, non-government organizations and international organizations or they may be self-employed."
41404,"Health policy researchers, consultants and program officers","Health policy researchers, consultants and program officers conduct research, produce reports and administer health care policies and programs. They are employed by government departments and agencies, consulting establishments, universities, research institutes, hospitals, community agencies, educational institutions, professional associations, non-governmental organizations and international organizations."
41405,"Education policy researchers, consultants and program officers","Education policy researchers, consultants and program officers conduct research, produce reports and administer elementary, secondary and post-secondary education policies and programs. They are employed by government departments, school boards, research institutes, professional associations and educational and other organizations throughout the public and private sectors, or they may be self-employed."
41406,"Recreation, sports and fitness policy researchers, consultants and program officers","Policy researchers, consultants and program officers in recreation, sports and fitness oversee and administer recreation, sports and fitness programs and activities, provide consulting services, conduct research and develop programs and policies related to recreation, sports and physical fitness. They are employed by federal, provincial and municipal governments, recreation, sports, fitness and health care facilities, retirement homes, community centres, sports and fitness consulting firms and organizations, or they may be self-employed."
41407,Program officers unique to government,"Program officers unique to government are primarily concerned with the administration and operation of government institutions, such as Parliament, and activities unique to the operations of government, such as international relations, federal-provincial affairs, elections and tribunals."
41409,Other professional occupations in social science,"Other professional occupations in social science include anthropologists, archaeologists, geographers, historians, linguists, political scientists, sociologists and other professional occupations in social science. They are employed in universities and throughout the public and private sectors."
42100,Police officers (except commissioned),"Police officers maintain order and enforce laws and regulations. They respond to emergency calls, patrol public areas, regulate traffic, control crowds, arrest offenders and build community relationships. They are employed by municipal and federal governments and some provincial and regional governments."
42101,Firefighters,"Firefighters carry out firefighting and fire prevention activities, and assist in other emergencies. They are employed by municipal, provincial and federal governments and by large industrial establishments that have internal firefighting services. Apprentices are also included in this unit group."
42102,Specialized members of the Canadian Armed Forces,"Specialized members of the Canadian Armed Forces provide critical technological support for military armament. They are primarily responsible for the maintenance, inspection and technical support of all Canadian Army equipment. They also follow the military and strategic policies established by the leadership of the Canadian Army, the Royal Canadian Airforce, and the Royal Canadian Navy."
42200,Paralegals and related occupations,"Paralegals prepare legal documents and conduct research to assist lawyers or other professionals. Independent paralegals provide legal services to the public as allowed by government legislation, or provide paralegal services on contract to law firms or other establishments. Justices of the peace administer oaths, issue subpoenas, summonses and warrants and perform other court-related duties such as conducting bail hearings. Notaries public administer oaths, take affidavits, sign legal documents and perform other activities according to the scope of their practice. Trademark agents advise clients on intellectual property matters. Paralegals are employed by law firms, by record search companies and in legal departments throughout the public and private sectors. Independent paralegals are usually self-employed. Justices of the peace are employed by federal, provincial, municipal, and territorial courts. Notaries public are employed by government and in the public and private sectors or they may be self-employed. Trademark agents are employed by law firms and legal departments throughout the public and private sectors, trademark development and search firms or they may be self-employed."
42201,Social and community service workers,"Social and community service workers administer and implement a variety of social assistance programs and community services, and assist clients to deal with personal and social problems. They are employed by social service and government agencies, mental health agencies, group homes, shelters, substance abuse centres, school boards, correctional facilities and other establishments."
42202,Early childhood educators and assistants,"Early childhood educators plan, organize and implement programs for children between the ages of infancy and 12 years. Early childhood educator assistants provide care for infants and preschool- to school-age children under the guidance of early childhood educators. Early childhood educators and assistants lead children in activities to stimulate and develop their intellectual, physical and emotional growth and ensure their security and well-being. They are employed in child-care centres, daycare centres, kindergartens, agencies for exceptional children and other settings where early childhood education services are provided. Supervisors of early childhood educators and assistants are included in this unit group."
